DOID,Gene
DOID:8577,102
DOID:8778,102
DOID:9778,102
DOID:0060258,102
DOID:0060256,102
DOID:3526,102
DOID:3347,102
DOID:1793,102
DOID:11054,102
DOID:6039,102
DOID:0050865,102
DOID:649,102
DOID:9538,102
DOID:9261,102
DOID:9256,102
DOID:1749,102
DOID:1587,102
DOID:4362,102
DOID:0060538,102
DOID:2394,102
DOID:12858,102
DOID:3302,102
DOID:0060851,102
DOID:0050855,102
DOID:14330,102
DOID:0081292,102
DOID:12918,102
DOID:14004,102
DOID:9182,102
DOID:0080841,102
DOID:5419,102
DOID:8893,102
DOID:2945,102
DOID:768,102
DOID:8398,102
DOID:784,102
DOID:11166,102
DOID:1240,102
DOID:9074,103
DOID:12895,103
DOID:0060257,103
DOID:934,103
DOID:305,103
DOID:9637,103
DOID:1470,103
DOID:9351,103
DOID:8622,103
DOID:8469,103
DOID:5810,103
DOID:0050629,103
DOID:1036,103
DOID:8552,103
DOID:162,103
DOID:684,103
DOID:0060578,103
DOID:0060580,103
DOID:0060581,103
DOID:543,103
DOID:1749,103
DOID:3302,103
DOID:1909,103
DOID:1324,103
DOID:10652,103
DOID:10534,103
DOID:0080047,103
DOID:3910,103
DOID:409,103
DOID:1612,103
DOID:10286,103
DOID:0050156,103
DOID:1883,103
DOID:9538,103
DOID:10763,103
DOID:9256,103
DOID:1682,103
DOID:0050866,103
DOID:11166,103
DOID:289,103
DOID:1781,103
DOID:3068,103
DOID:3908,103
DOID:2945,103
DOID:1380,103
DOID:0081267,103
DOID:4362,103
DOID:9952,103
DOID:11054,103
DOID:5810,104
DOID:13241,104
DOID:0050744,104
DOID:8567,104
DOID:0111227,104
DOID:332,104
DOID:3068,104
DOID:162,104
DOID:3302,104
DOID:10652,104
DOID:1749,104
DOID:0050156,104
DOID:10487,104
DOID:9255,104
DOID:1682,104
DOID:3910,104
DOID:5154,104
DOID:1059,104
DOID:10907,104
DOID:1826,104
DOID:0112202,104
DOID:11054,104
DOID:14330,104
DOID:9970,105
DOID:3068,105
DOID:10652,105
DOID:305,105
DOID:0050929,107
DOID:1793,107
DOID:4074,107
DOID:9256,108
DOID:3083,108
DOID:3312,108
DOID:9970,109
DOID:9352,109
DOID:1470,109
DOID:9352,111
DOID:0060358,111
DOID:1596,111
DOID:543,111
DOID:9970,111
DOID:12859,111
DOID:0050835,111
DOID:0050635,111
DOID:0050672,111
DOID:0060135,111
DOID:11476,111
DOID:1059,111
DOID:9351,111
DOID:3982,111
DOID:6000,112
DOID:0050646,112
DOID:0080954,112
DOID:10923,112
DOID:2841,112
DOID:0060558,112
DOID:1612,112
DOID:0050741,113
DOID:1596,113
DOID:1240,113
DOID:9119,113
DOID:0060318,113
DOID:1749,113
DOID:3312,114
DOID:1596,114
DOID:0110131,114
DOID:3312,115
DOID:0060318,115
DOID:2841,115
DOID:219,115
DOID:9256,115
DOID:219,116
DOID:1324,116
DOID:10283,116
DOID:5419,116
DOID:4989,116
DOID:3312,116
DOID:9007,116
DOID:169,116
DOID:769,116
DOID:326,116
DOID:10155,116
DOID:4362,116
DOID:2055,116
DOID:6364,116
DOID:225,116
DOID:114,116
DOID:2377,116
DOID:0081292,116
DOID:0080832,116
DOID:1307,116
DOID:10652,116
DOID:2030,116
DOID:0111227,116
DOID:332,116
DOID:657,116
DOID:8398,116
DOID:9970,116
DOID:11714,116
DOID:5844,116
DOID:11054,116
DOID:1470,116
DOID:1596,116
DOID:1324,117
DOID:219,117
DOID:162,117
DOID:10283,117
DOID:769,117
DOID:10908,117
DOID:2055,117
DOID:2841,117
DOID:2030,117
DOID:0111227,117
DOID:332,117
DOID:6364,117
DOID:9007,117
DOID:5844,118
DOID:6713,118
DOID:12028,118
DOID:10763,118
DOID:783,118
DOID:898,118
DOID:10825,118
DOID:9352,118
DOID:3393,118
DOID:9848,118
DOID:225,118
DOID:11263,118
DOID:10591,118
DOID:2986,118
DOID:3083,118
DOID:10534,118
DOID:9182,118
DOID:9256,118
DOID:9351,118
DOID:10763,119
DOID:2986,119
DOID:9074,119
DOID:0080162,119
DOID:5419,119
DOID:9256,119
DOID:1969,120
DOID:1059,120
DOID:13608,120
DOID:9952,120
DOID:114,120
