X,logFC,AveExpr,t,P.Value,adj.P.Val,B,change
55803,0.343467126409577,6.84891583812951,1.42384815800397,0.160486355595759,0.235465924675973,-5.56328436594282,NOT
55805,-0.132068045076565,2.52286913673201,-1.88002921298024,0.0657328867884298,0.11299501687983,-4.84942900020732,NOT
55806,0.118145750963099,4.70731722867357,0.64076151912227,0.524502263106687,0.610419444862999,-6.35209229256186,NOT
55808,2.8068217258752,7.29524534174165,5.16922588286541,3.83050847381155e-06,9.19570830171837e-05,4.15725627408796,Up
55809,0.485397801412877,5.71308261166989,2.1842857162686,0.0334911292541112,0.0648459563655694,-4.27839994306966,NOT
5581,-0.0194151133351257,4.65650774037929,-0.115401107877775,0.908573386217381,0.931980306122395,-6.54972494795815,NOT
55810,-0.0194424167246696,7.16336603484877,-0.16023619090481,0.873318236205612,0.905360628801994,-6.54355357549059,NOT
55811,-0.18758297850954,2.94778343463571,-3.40916184797418,0.00126924428648157,0.00500582254198717,-1.3292693928692,NOT
55812,-0.198256560060519,6.246499864679,-1.20517657465315,0.233611916719038,0.320069383101338,-5.84096644040566,NOT
55813,0.438608942073369,7.73918060003209,3.31305648751064,0.00168792526993198,0.0061417710678077,-1.59308056426974,NOT
55814,0.119449576468822,8.67058029113849,0.889022310934413,0.378100969323186,0.472090247753516,-6.16458086668399,NOT
55815,-0.108809104305932,4.11647375991463,-1.40114701715001,0.167132789945856,0.243467871132039,-5.59411007735231,NOT
55816,0.762315911415262,6.86720527150049,2.05430116773163,0.0450080334119726,0.0826642518760732,-4.53122480882997,NOT
55818,0.687892549095524,8.61639014730968,5.41019987283018,1.62998959047413e-06,5.04352202556214e-05,4.97534126301268,NOT
55819,-0.348373000556952,9.11273755170209,-1.88884152102952,0.0645175122629367,0.111282421549192,-4.8339226750928,NOT
5582,-0.0894330635356178,3.09229534878808,-1.36638305200095,0.177720886307276,0.255920042629328,-5.64042600984516,NOT
55821,-0.248436009478219,2.84478450748115,-3.62242520439335,0.000664485846665282,0.003172954201091,-0.727375207022196,NOT
55823,0.0546589762610648,6.16533742005467,0.512112834196354,0.610748585959541,0.688141356672518,-6.42569824441685,NOT
55824,-0.453470392575188,7.68402757964308,-2.14257840182368,0.0368667745437564,0.0701236493514052,-4.36093375746955,NOT
55825,0.18969858869771,8.01232154677445,2.06756428418083,0.0436930176047523,0.0807117358823173,-4.5060246998251,NOT
55827,0.147496628760024,8.51578227111582,1.58300741649495,0.119506669958683,0.184916547423066,-5.33442694958945,NOT
55829,0.283378396525482,10.0474720467697,2.20678456229693,0.0317855954579026,0.0621330366859442,-4.23333058196252,NOT
5583,0.118748959513262,6.95417912041555,0.591747459658622,0.55659355714728,0.639793786378613,-6.38204684740128,NOT
55830,-0.084898635795394,9.45586021657303,-0.996876371660838,0.323458500097367,0.416735742500004,-6.06472244676976,NOT
55831,0.234032985808364,8.50418276546063,2.06423762682932,0.0440196739846391,0.0811855186481379,-4.51235827087733,NOT
55832,0.0544229592018137,8.37526366170044,0.465857093031054,0.643270694027476,0.716948669044539,-6.44819083084418,NOT
55833,0.407851007966816,8.32833977032033,2.20433475731535,0.0319675111865573,0.0623835697712354,-4.2382564910093,NOT
55835,0.477152886844562,5.66660377347802,2.69632518048805,0.00943493408627677,0.0232265122842685,-3.16233410399073,NOT
55837,0.226558347439727,8.1473045411288,1.89705177888738,0.0634023985153442,0.109676985104131,-4.81941908037784,NOT
55839,0.283955133049148,5.70977017479068,2.19431620608071,0.0327210528066629,0.0636429286317076,-4.25835414625772,NOT
5584,1.12393809389408,9.37953798160578,6.68878636937417,1.57743658432312e-08,1.74726273574174e-06,9.43203220072388,Up
